key,enabled,identity,password,username
user-account-anonymous-01,false,"UserIdentity{name: 'John', surname: 'Doe', email: 'john.doe@acme.com'}",HIDDEN-PASSWORD,anonymous
user-account-administrator-01,true,"UserIdentity{name: 'Administrator', surname: 'Acme', email: 'administrator@acme.com'}",administrator,administrator
user-account-administrator-02,true,"UserIdentity{name: 'Administrator1', surname: 'Acme', email: 'administrator1@acme.com'}",administrator1,administrator1
user-account-administrator-03,true,"UserIdentity{name: 'Administrator2', surname: 'Acme', email: 'administrator2@acme.com'}",administrator2,administrator2
user-account-auditor-01,true,"UserIdentity{name: 'Auditor01', surname: 'Auditor01', email: 'auditor01@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'Auditor02', surname: 'Auditor02', email: 'auditor02@acme.com'}",auditor2,auditor2
user-account-auditor-04,true,"UserIdentity{name: 'Auditor04', surname: 'Auditor04', email: 'auditor04@acme.com'}",auditor4,auditor4
user-account-auditor-05,true,"UserIdentity{name: 'Auditor05', surname: 'Auditor05', email: 'auditor05@acme.com'}",auditor5,auditor5
user-account-auditor-06,true,"UserIdentity{name: 'Auditor06', surname: 'Auditor06', email: 'auditor06@acme.com'}",auditor6,auditor6
user-account-auditor-07,true,"UserIdentity{name: 'Auditor07', surname: 'Auditor07', email: 'auditor07@acme.com'}",auditor7,auditor7
user-account-auditor-08,true,"UserIdentity{name: 'Auditor08', surname: 'Auditor08', email: 'auditor08@acme.com'}",auditor8,auditor8
user-account-company-01,true,"UserIdentity{name: 'company1', surname: 'company1', email: 'company1@acme.com'}",company1,company1
user-account-company-02,true,"UserIdentity{name: 'company2', surname: 'company2', email: 'company2@acme.com'}",company2,company2
user-account-company-03,true,"UserIdentity{name: 'company3', surname: 'company3', email: 'company3@acme.com'}",company3,company3
user-account-company-04,true,"UserIdentity{name: 'company4', surname: 'company4', email: 'company4@acme.com'}",company4,company4
user-account-company-05,true,"UserIdentity{name: 'company5', surname: 'company5', email: 'company5@acme.com'}",company5,company5
user-account-company-06,true,"UserIdentity{name: 'company6', surname: 'company6', email: 'company6@acme.com'}",company6,company6
user-account-assistant-01,true,"UserIdentity{name: 'assistant1', surname: 'assistant1', email: 'assistant1@acme.com'}",assistant1,assistant1
user-account-assistant-02,true,"UserIdentity{name: 'assistant2', surname: 'assistant2', email: 'assistant2@acme.com'}",assistant2,assistant2
user-account-assistant-03,true,"UserIdentity{name: 'assistan3', surname: 'assistant3', email: 'assistant3@acme.com'}",assistant3,assistant3
user-account-assistant-04,true,"UserIdentity{name: 'assistan4', surname: 'assistant4', email: 'assistant4@acme.com'}",assistant4,assistant4
user-account-student-01,true,"UserIdentity{name: 'Paco', surname: 'Ingles', email: 'paco@acme.com'}",student1,student1
user-account-student-02,true,"UserIdentity{name: 'Juan', surname: 'Demiespaña', email: 'juan@acme.com'}",student2,student2
user-account-auditor-03,true,"UserIdentity{name: 'Auditor03', surname: 'Auditor03', email: 'auditor03@acme.com'}",auditor3,auditor3
user-account-lecturer-01,true,"UserIdentity{name: 'Lecturer01', surname: 'Lecturer01', email: 'lecturer01@acme.com'}",lecturer1,lecturer1
user-account-lecturer-02,true,"UserIdentity{name: 'Lecturer02', surname: 'Lecturer02', email: 'lecturer02@acme.com'}",lecturer2,lecturer2
user-account-lecturer-03,true,"UserIdentity{name: 'Lecturer03', surname: 'Lecturer03', email: 'lecturer03@acme.com'}",lecturer3,lecturer3
user-account-lecturer-04,true,"UserIdentity{name: 'Lecturer04', surname: 'Lecturer04', email: 'lecturer04@acme.com'}",lecturer4,lecturer4
user-account-lecturer-05,true,"UserIdentity{name: 'Lecturer05', surname: 'Lecturer05', email: 'lecturer05@acme.com'}",lecturer5,lecturer5
user-account-lecturer-06,true,"UserIdentity{name: 'Lecturer06', surname: 'Lecturer06', email: 'lecturer06@acme.com'}",lecturer6,lecturer6
user-account-lecturer-07,true,"UserIdentity{name: 'Lecturer07', surname: 'Lecturer07', email: 'lecturer07@acme.com'}",lecturer7,lecturer7
