key,instantiation-moment,title,author,message,email,link
note-01,2022/02/03 10:00,The first note,"company1 - Company1, Acme",This is a testing message for note,null,null
note-02,2022/01/23 07:00,This is a note with 75 characters in his title: ecuewnvuwbnvnwuevnrvwrvevra,"lecturer1 - Lecturer1, Acme",This is a note with 100 characters in his title: ecuewnvuwbnvnwuevnrvwrvevravrwvrwvrwvwvrwvrdvrrrfff,acmeLect1@gmail.com,null
note-03,2022/02/03 10:00,Th,"audit1 - Audit1, Acme",P,acmeAudit1@gmail.com,https://web.whatsapp.com/
note-04,2022/02/03 10:00,The second note,"company2 - Company2, Acme",This is a testing message for another note,company2@gmail.com,https://www.instant-gaming.com/es/
note-05,2022/01/23 09:05,This is a note with 75 characters in his title: ecuewnvuwbnvnwuevnrvwrvevra,"lecturer2 - Lecturer2, Acme",This is a note with 100 characters in his title: ecuewnvuwbnvnwuevnrvwrvevravrwvrwvrwvwvrwvrdvrrrfff,acmeLect1@gmail.com,https://web.whatsapp.com/
note-06,2022/02/08 10:00,Th,"audit2 - Audit2, Acme",P,null,null
note-07,2022/02/03 10:00,The first note,"company1 - Company1, Acme",This is a testing message for note,null,null
note-08,2022/01/23 07:00,This is a note with 75 characters in his title: ecuewnvuwbnvnwuevnrvwrvevra,"lecturer1 - Lecturer1, Acme",This is a note with 100 characters in his title: ecuewnvuwbnvnwuevnrvwrvevravrwvrwvrwvwvrwvrdvrrrfff,acmeLect1@gmail.com,null
note-09,2022/02/03 10:00,Th,"audit1 - Audit1, Acme",P,null,https://web.whatsapp.com/
note-10,2022/07/13 10:00,Th,"audit1 - Audit1, Acme",P,null,https://web.whatsapp.com/
